reporting_unit_code,name,private,latitude,longitude,lhn_name,phn_name,health_service_name,domain,tier,resolution_method,mx_ok
H0132,Macksville District Hospital,False,-30.713725,152.919838,Mid North Coast,North Coast,,health.nsw.gov.au,unknown,lhn:mid north coast,True
H0133,Wauchope District Memorial Hospital,False,-31.457239,152.728131,Mid North Coast,North Coast,,health.nsw.gov.au,unknown,lhn:mid north coast,True
H0134,Port Macquarie Base Hospital,False,-31.452336,152.878304,Mid North Coast,North Coast,,health.nsw.gov.au,unknown,lhn:mid north coast,True
H0135,Batemans Bay Hospital,False,-35.714055,150.182375,Southern NSW,South Eastern NSW,,health.nsw.gov.au,unknown,lhn:southern nsw,True
H0136,South East Regional Hospital,False,-36.68905,149.858549,Southern NSW,South Eastern NSW,,health.nsw.gov.au,unknown,lhn:southern nsw,True
H0137,Bombala Multi Purpose Service,False,-36.917513,149.235372,Southern NSW,South Eastern NSW,,health.nsw.gov.au,unknown,lhn:southern nsw,True
H0138,Braidwood Multi Purpose Service,False,-35.443216,149.805302,Southern NSW,South Eastern NSW,,health.nsw.gov.au,unknown,lhn:southern nsw,True
H0139,Cooma Hospital and Health Service,False,-36.241389,149.130499,Southern NSW,South Eastern NSW,,health.nsw.gov.au,unknown,lhn:southern nsw,True
H0140,Crookwell District Hospital,False,-34.464222,149.467427,Southern NSW,South Eastern NSW,,health.nsw.gov.au,unknown,lhn:southern nsw,True
H0141,Delegate Multi Purpose Service,False,-37.04496,148.945958,Southern NSW,South Eastern NSW,,health.nsw.gov.au,unknown,lhn:southern nsw,True
H0142,Goulburn Base Hospital,False,-34.747527,149.712806,Southern NSW,South Eastern NSW,,health.nsw.gov.au,unknown,lhn:southern nsw,True
H0143,Moruya Hospital,False,-35.904137,150.070774,Southern NSW,South Eastern NSW,,health.nsw.gov.au,unknown,lhn:southern nsw,True
H0144,Pambula Hospital,False,-36.926316,149.879232,Southern NSW,South Eastern NSW,,health.nsw.gov.au,unknown,lhn:southern nsw,True
H0145,Queanbeyan Hospital,False,-35.347685,149.232294,Southern NSW,South Eastern NSW,,health.nsw.gov.au,unknown,lhn:southern nsw,True
H0146,Bourke Street Health Service,False,-34.748721,149.719321,Southern NSW,South Eastern NSW,,health.nsw.gov.au,unknown,lhn:southern nsw,True
H0147,Yass District Hospital,False,-34.844072,148.906427,Southern NSW,South Eastern NSW,,health.nsw.gov.au,unknown,lhn:southern nsw,True
H0149,Lake Cargelligo Multi Purpose Service,False,-33.292027,146.374304,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0150,Wyalong Hospital,False,-33.916373,147.196483,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0151,Barham Hospital,False,-35.623823,144.133479,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0152,Berrigan Multi Purpose Service,False,-35.662312,145.813035,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0153,Culcairn Multi Purpose Service,False,-35.667399,147.042104,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0154,Corowa Health Service,False,-35.993528,146.383541,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0155,Deniliquin Hospital,False,-35.524044,144.963301,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0156,Finley Hospital,False,-35.641725,145.568139,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0157,Henty Multi Purpose Service,False,-35.515801,147.031847,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0158,Holbrook Hospital,False,-35.723991,147.320276,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0159,Jerilderie Multi Purpose Service,False,-35.356628,145.720596,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0160,Mercy Care Hospital - Albury,False,-36.069221,146.916764,Murrumbidgee,Murray,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0161,Urana Multi Purpose Service,False,-35.325419,146.267316,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0162,Tocumwal Hospital,False,-35.815407,145.568996,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0163,Tumbarumba Multi Purpose Service,False,-35.778706,148.006203,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0164,Boorowa Multi Purpose Service,False,-34.442822,148.727073,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0165,Mercy Care Hospital - Young,False,-34.321003,148.288693,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0166,Murrumburrah-Harden Hospital,False,-34.555254,148.360186,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0167,Young Hospital,False,-34.320383,148.288457,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0168,Batlow/Adelong Multi Purpose Service,False,-35.521951,148.147891,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0169,Griffith Base Hospital,False,-34.282121,146.043774,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0170,Gundagai Hospital,False,-35.051394,148.101764,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0171,Hay Hospital,False,-34.500349,144.851433,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0172,Hillston Hospital,False,-33.478793,145.539032,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0173,Junee Multi Purpose Service,False,-34.866914,147.581314,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0174,Coolamon-Ganmain Multi Purpose Service,False,-34.819885,147.199329,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0175,Leeton Hospital,False,-34.545222,146.408831,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0176,Lockhart Hospital,False,-35.222378,146.719064,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0177,Narrandera Hospital,False,-34.743181,146.547661,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0178,Temora Hospital,False,-34.4439423,147.5426162,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0179,Tumut Hospital,False,-35.307265,148.219552,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0180,Wagga Wagga Hospital,False,-35.118083,147.356915,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0181,Cootamundra Hospital,False,-34.634386,148.012796,Murrumbidgee,Murrumbidgee,,health.nsw.gov.au,unknown,lhn:murrumbidgee,True
H0182,Bourke Multi Purpose Service,False,-30.092823,145.947983,Western NSW,Western NSW,,health.nsw.gov.au,unknown,lhn:western nsw,True
H0183,Brewarrina Multi Purpose Service,False,-29.961627,146.863796,Western NSW,Western NSW,,health.nsw.gov.au,unknown,lhn:western nsw,True
H0184,Cobar Health Service,False,-31.509026,145.825266,Western NSW,Western NSW,,health.nsw.gov.au,unknown,lhn:western nsw,True
H0185,Collarenebri Multi Purpose Service,False,-29.544889,148.581901,Western NSW,Western NSW,,health.nsw.gov.au,unknown,lhn:western nsw,True
H0186,Coolah Multi Purpose Service,False,-31.821473,149.710049,Western NSW,Western NSW,,health.nsw.gov.au,unknown,lhn:western nsw,True
H0187,Coonabarabran Health Service,False,-31.274791,149.284779,Western NSW,Western NSW,,health.nsw.gov.au,unknown,lhn:western nsw,True
H0188,Baradine Multi Purpose Service,False,-30.945316,149.066189,Western NSW,Western NSW,,health.nsw.gov.au,unknown,lhn:western nsw,True
H0189,Coonamble Multi Purpose Service,False,-30.964803,148.387527,Western NSW,Western NSW,,health.nsw.gov.au,unknown,lhn:western nsw,True
H0190,Gulargambone Multi Purpose Service,False,-31.329812,148.469216,Western NSW,Western NSW,,health.nsw.gov.au,unknown,lhn:western nsw,True
H0191,Dubbo Hospital,False,-32.239339,148.620772,Western NSW,Western NSW,,health.nsw.gov.au,unknown,lhn:western nsw,True
H0192,Dunedoo Multi Purpose Service,False,-32.017204,149.397366,Western NSW,Western NSW,,health.nsw.gov.au,unknown,lhn:western nsw,True
H0193,Gilgandra Multi Purpose Service,False,-31.704565,148.664889,Western NSW,Western NSW,,health.nsw.gov.au,unknown,lhn:western nsw,True
H0194,Gulgong Multi Purpose Service,False,-32.3668707,149.5218927,Western NSW,Western NSW,,health.nsw.gov.au,unknown,lhn:western nsw,True
H0195,Mudgee Health Service,False,-32.603229,149.588179,Western NSW,Western NSW,,health.nsw.gov.au,unknown,lhn:western nsw,True
H0196,Narromine Health Service,False,-32.24261,148.239201,Western NSW,Western NSW,,health.nsw.gov.au,unknown,lhn:western nsw,True
H0197,Nyngan Multi Purpose Service,False,-31.560024,147.208772,Western NSW,Western NSW,,health.nsw.gov.au,unknown,lhn:western nsw,True
H0198,Trangie Multi Purpose Service,False,-32.030813,147.976355,Western NSW,Western NSW,,health.nsw.gov.au,unknown,lhn:western nsw,True
H0199,Walgett Multipurpose Service,False,-30.030646,148.115959,Western NSW,Western NSW,,health.nsw.gov.au,unknown,lhn:western nsw,True
