reporting_unit_code,name,private,latitude,longitude,lhn_name,phn_name,health_service_name,domain,tier,resolution_method,mx_ok
H0494,Cairns Hospital,False,-16.912537,145.768522,Cairns and Hinterland,Northern Queensland,,health.qld.gov.au,unknown,lhn:cairns and hinterland,True
H0496,Cooktown Hospital,False,-15.478067,145.249616,Torres and Cape,Northern Queensland,,health.qld.gov.au,unknown,lhn:torres and cape,True
H0500,Gordonvale Hospital,False,-17.087337,145.786159,Cairns and Hinterland,Northern Queensland,,health.qld.gov.au,unknown,lhn:cairns and hinterland,True
H0501,Herberton Hospital,False,-17.379371,145.38175,Cairns and Hinterland,Northern Queensland,,health.qld.gov.au,unknown,lhn:cairns and hinterland,True
H0502,Innisfail Hospital,False,-17.518939,146.030049,Cairns and Hinterland,Northern Queensland,,health.qld.gov.au,unknown,lhn:cairns and hinterland,True
H0503,Mareeba Hospital,False,-16.987117,145.424468,Cairns and Hinterland,Northern Queensland,,health.qld.gov.au,unknown,lhn:cairns and hinterland,True
H0504,Mossman Hospital,False,-16.464031,145.368025,Cairns and Hinterland,Northern Queensland,,health.qld.gov.au,unknown,lhn:cairns and hinterland,True
H0506,Thursday Island Hospital,False,-10.588,142.21156,Torres and Cape,Northern Queensland,,health.qld.gov.au,unknown,lhn:torres and cape,True
H0507,Tully Hospital,False,-17.927624,145.924146,Cairns and Hinterland,Northern Queensland,,health.qld.gov.au,unknown,lhn:cairns and hinterland,True
H0508,Weipa Hospital,False,-12.623419,141.881179,Torres and Cape,Northern Queensland,,health.qld.gov.au,unknown,lhn:torres and cape,True
H0516,Cloncurry Hospital,False,-20.704166,140.527571,North West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:north west (qld),True
H0517,Hughenden Hospital,False,-20.8424,144.1892,Townsville,Northern Queensland,,health.qld.gov.au,unknown,lhn:townsville,True
H0518,Julia Creek Hospital,False,-20.656096,141.749875,North West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:north west (qld),True
H0519,Mount Isa Base Hospital,False,-20.730919,139.493815,North West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:north west (qld),True
H0520,Normanton Hospital,False,-17.678739,141.086425,North West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:north west (qld),True
H0521,Richmond Hospital,False,-20.738726,143.150471,Townsville,Northern Queensland,,health.qld.gov.au,unknown,lhn:townsville,True
H0522,Mornington Island Hospital,False,-16.665534,139.178559,North West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:north west (qld),True
