reporting_unit_code,name,private,closed,latitude,longitude,lhn_code,lhn_name,phn_code,phn_name
H5444,The Glen Endoscopy Centre,True,False,-37.884701,145.165359,,,,
H5445,The Melbourne Eastern Private Hospital,True,False,-37.855701,145.269073,,,,
H5455,Ballan District Health & Care,True,False,-37.59919,144.2228,,,,
H5457,Bayside Endoscopy Day Hospital,True,False,-37.933098,145.036667,,,,
H5461,Bayside Day Procedure and Specialist Centre,True,False,-38.148136,145.143524,,,,
H5463,Casey Day Hospital,True,False,-38.02488,145.31446,,,,
H5466,Eastside Endoscopy Centre,True,False,-37.819901,145.228134,,,,
H5467,Euroa Health,True,False,-36.75922,145.570465,,,,
H5468,Greensborough Day Surgery,True,False,-37.70393,145.10629,,,,
H5469,Heyfield Hospital,True,False,-37.97633,146.784012,,,,
H5472,Kew Endoscopy Centre,True,False,-37.79461,145.06255,,,,
H5475,Melbourne Endoscopy Monash Day Procedure Centre,True,False,-37.921371,145.120255,,,,
H5476,Melbourne Endoscopy,True,False,-37.811069,144.984085,,,,
H5490,Toorak Cosmetic Surgery Day Centre,True,False,-37.84138,145.00798,,,,
H5515,Chesterville Day Hospital,True,False,-37.96,145.056,,,,
H5520,Glen Iris Private,True,False,-37.858,145.093,,,,
H5522,Sir John Monash Private Hospital,True,False,-37.918,145.121,,,,
